2016-12-20 13:40:21.950 INFO  DefaultFactory Logging to 'D:\Projects\Git\docs.particular.net\samples\routing\custom\Core_6\Billing\bin\Debug\' with level Info
2016-12-20 13:40:22.127 INFO  NServiceBus.LicenseManager License expires on 4/24/2017 12:00:00 AM
2016-12-20 13:40:27.632 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'SVEACORP\se-vahmoha-01' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "SVEACORP\se-vahmoha-01" /add
2016-12-20 13:40:27.858 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-20 13:40:28.078 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-20 13:40:28.281 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-20 13:40:28.335 INFO  NServiceBus.Features.QueuePermissions Queue [private$\Samples.CustomRouting.Billing] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-12-20 13:40:35.541 INFO  RoutingInfoSubscriber Added endpoint Samples.CustomRouting.Client with instances [Samples.CustomRouting.Client;machine:SE-DEVPC1028]
2016-12-20 13:40:35.548 INFO  RoutingInfoSubscriber Added route for OrderAccepted to [Samples.CustomRouting.Shipping]
2016-12-20 13:40:35.552 INFO  RoutingInfoSubscriber Added endpoint Samples.CustomRouting.Shipping with instances [Samples.CustomRouting.Shipping;machine:SE-DEVPC1028]
